18.9 02:30:05 | ip: 192.168.0.27 | port: 40500
18.9 23:24:53 | ip: 192.168.0.27 | port: 42704
18.9 23:24:53 | ip: 192.168.0.27 | port: 42706
18.9 23:24:53 | ip: 192.168.0.27 | port: 42708
18.9 23:24:53 | ip: 192.168.0.27 | port: 42710
18.9 23:24:53 | ip: 192.168.0.27 | port: 42712
18.9 23:24:54 | ip: 192.168.0.27 | port: 42714
18.9 23:24:54 | ip: 192.168.0.27 | port: 42716
18.9 23:25:02 | ip: 192.168.0.27 | port: 42718
18.9 23:25:02 | ip: 192.168.0.27 | port: 42720
18.9 23:25:02 | ip: 192.168.0.27 | port: 42722
18.9 23:25:02 | ip: 192.168.0.27 | port: 42724
18.9 23:25:37 | ip: 192.168.0.27 | port: 42726
18.9 23:25:37 | ip: 192.168.0.27 | port: 42728
18.9 23:32:29 | ip: 192.168.0.27 | port: 42788
18.9 23:32:29 | ip: 192.168.0.27 | port: 42790
18.9 23:40:09 | ip: 192.168.0.27 | port: 42894
18.9 23:40:09 | ip: 192.168.0.27 | port: 42896
18.9 23:44:22 | ip: 77.152.59.217 | port: 43178
18.9 23:44:32 | ip: 77.152.59.217 | port: 43216
19.9 00:50:14 | ip: 170.245.173.161 | port: 60046
19.9 01:07:26 | ip: 198.108.66.32 | port: 57330
19.9 01:36:13 | ip: 177.68.58.47 | port: 34270
19.9 02:44:26 | ip: 178.175.133.102 | port: 53098
19.9 02:44:26 | ip: 178.175.133.102 | port: 53172
19.9 03:18:59 | ip: 103.135.38.220 | port: 49713
19.9 03:22:07 | ip: 178.175.133.102 | port: 37018
19.9 03:22:08 | ip: 178.175.133.102 | port: 37130
19.9 03:25:08 | ip: 178.175.133.102 | port: 26508
19.9 03:25:08 | ip: 178.175.133.102 | port: 26608
19.9 06:20:32 | ip: 93.126.15.97 | port: 43653
19.9 06:20:53 | ip: 171.67.70.80 | port: 42418
19.9 06:57:35 | ip: 187.17.164.83 | port: 54897
19.9 07:34:16 | ip: 196.12.162.197 | port: 49202
19.9 07:34:18 | ip: 196.12.162.197 | port: 49193
19.9 08:06:50 | ip: 178.93.42.194 | port: 47402
19.9 08:27:29 | ip: 91.158.77.125 | port: 43634
19.9 08:52:07 | ip: 195.135.237.165 | port: 60538
19.9 09:04:10 | ip: 110.77.225.2 | port: 38469
19.9 09:11:35 | ip: 187.10.46.80 | port: 51658
19.9 09:13:52 | ip: 82.62.172.12 | port: 40040
19.9 09:21:17 | ip:  | port: 
19.9 09:21:17 | ip: 216.245.217.2 | port: 50786
19.9 09:55:13 | ip: 183.80.116.94 | port: 57407
19.9 10:13:07 | ip: 171.67.70.96 | port: 53814
19.9 10:22:23 | ip: 125.227.148.143 | port: 57170
19.9 10:22:23 | ip: 125.227.148.143 | port: 57235
19.9 10:24:20 | ip: 108.59.249.175 | port: 34002
19.9 10:24:21 | ip: 108.59.249.175 | port: 36096
19.9 10:44:21 | ip: 196.196.192.20 | port: 21084
19.9 10:44:21 | ip: 196.196.192.20 | port: 21140
19.9 11:17:06 | ip: 197.247.22.138 | port: 48092
19.9 11:22:40 | ip: 212.12.29.67 | port: 34358
19.9 11:22:59 | ip: 47.101.201.241 | port: 52034
19.9 12:07:40 | ip: 185.157.78.197 | port: 60260
19.9 12:07:40 | ip: 185.157.78.197 | port: 60362
19.9 12:10:26 | ip: 185.157.78.197 | port: 47712
19.9 12:10:27 | ip: 185.157.78.197 | port: 47830
19.9 13:02:10 | ip: 159.146.31.250 | port: 58724
19.9 13:05:30 | ip: 178.158.188.200 | port: 33944
19.9 13:58:08 | ip: 119.65.57.252 | port: 45511
19.9 13:58:13 | ip: 119.65.57.252 | port: 45530
19.9 13:58:41 | ip: 199.203.77.251 | port: 40835
19.9 13:59:28 | ip: 78.156.228.4 | port: 40625
19.9 14:42:32 | ip:  | port: 
19.9 14:42:33 | ip: 77.247.110.223 | port: 65182
19.9 14:43:53 | ip: 109.111.145.123 | port: 45680
19.9 15:46:06 | ip: 181.143.0.106 | port: 48869
19.9 15:57:48 | ip: 35.205.63.230 | port: 34652
19.9 16:06:43 | ip: 189.33.49.78 | port: 53317
19.9 16:49:17 | ip: 91.206.33.39 | port: 59722
19.9 16:52:48 | ip: 59.9.145.57 | port: 6628
19.9 17:06:14 | ip: 217.171.231.103 | port: 33303
20.9 00:01:00 | ip: 77.120.191.9 | port: 7032
20.9 00:01:00 | ip: 77.120.191.9 | port: 7082
20.9 00:01:00 | ip: 77.120.191.9 | port: 7089
20.9 00:01:01 | ip: 77.120.191.9 | port: 7118
20.9 00:01:05 | ip: 77.120.191.9 | port: 7157
20.9 00:01:23 | ip: 77.120.191.9 | port: 7803
